Country/Region,Confirmed,Deaths,Recovered,Active,Mortality Rate,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,LAT,LONG
United Kingdom,301708,45844,1437,254427,15.19482413,15.19,0.48,3190.26,32.3078,-64.7505
Uruguay,1202,35,951,216,2.911813644,2.91,79.12,3.68,-32.5228,-55.7658
Uzbekistan,21209,121,11674,9414,0.570512518,0.57,55.04,1.04,41.377491,64.585262
Venezuela,15988,146,9959,5883,0.913184889,0.91,62.29,1.47,6.4238,-66.5897
Vietnam,431,0,365,66,0,0,84.69,0,14.058324,108.277199
West Bank and Gaza,10621,78,3752,6791,0.734394125,0.73,35.33,2.08,31.9522,35.2332
Western Sahara,10,1,8,1,10,10,80,12.5,24.2155,-12.8858
Yemen,1691,483,833,375,28.56298048,28.56,49.26,57.98,15.552727,48.516388
Zambia,4552,140,2815,1597,3.075571178,3.08,61.84,4.97,-13.133897,27.849332
Zimbabwe,2704,36,542,2126,1.331360947,1.33,20.04,6.64,-19.015438,29.154857
